Fecha,Ciclo Combinado
2021-07-29,25398.841
2021-07-29,25169.8529
2021-07-29,24882.1603
2021-07-29,24691.057
2021-07-29,24507.2004
2021-07-29,23721.6919
2021-07-29,23476.7906
2021-07-29,23404.6205
2021-07-29,23268.674
2021-07-29,23613.2432
2021-07-29,23526.5717
2021-07-29,23550.4461
2021-07-29,24416.5612
2021-07-29,25544.5151
2021-07-29,26547.8586
2021-07-29,26600.9227
2021-07-29,26414.8039
2021-07-29,26453.0306
2021-07-30,26043.0107
2021-07-30,25497.4369
2021-07-30,24977.3595
2021-07-30,24062.2345
2021-07-30,24136.3826
2021-07-30,24021.7562
2021-07-30,23579.4515
2021-07-30,23845.7992
2021-07-30,23847.3048
2021-07-30,23697.3133
2021-07-30,23746.1557
2021-07-30,23732.1752
2021-07-30,23860.969
2021-07-30,23974.5651
2021-07-30,23990.6631
2021-07-30,24510.7933
2021-07-30,24821.278
2021-07-30,25082.1889
2021-07-30,25259.118
2021-07-30,25448.962
2021-07-30,25706.7133
2021-07-30,25609.1409
2021-07-30,24939.9131
2021-07-30,24099.9501
2021-07-31,23379.9892
2021-07-31,22566.7413
2021-07-31,22171.1178
2021-07-31,22812.2281
2021-07-31,22752.5335
2021-07-31,22478.0958
2021-07-31,22584.1165
2021-07-31,22514.668
2021-07-31,22198.2206
2021-07-31,21888.4859
2021-07-31,21970.3082
2021-07-31,21899.2591
2021-07-31,22072.2939
2021-07-31,21922.5501
2021-07-31,22076.1996
2021-07-31,22113.082
2021-07-31,22083.2257
2021-07-31,21445.6436
2021-07-31,21063.8066
2021-07-31,22506.2238
2021-07-31,24046.669
2021-07-31,24034.5099
2021-07-31,23766.533
2021-07-31,23412.7513
2021-08-01,22993.7636
2021-08-01,22110.5199
2021-08-01,21465.2458
2021-08-01,21258.6972
2021-08-01,21094.954
2021-08-01,20895.569
2021-08-01,20591.3211
2021-08-01,20730.3822
2021-08-01,20011.8272
2021-08-01,18878.5963
2021-08-01,18470.9083
2021-08-01,18515.6028
2021-08-01,18700.1836
2021-08-01,18960.3786
2021-08-01,19332.549
2021-08-01,19459.8793
2021-08-01,19776.0402
2021-08-01,20004.3073
2021-08-01,20203.3589
2021-08-01,20868.6054
2021-08-01,22182.0861
2021-08-01,22725.2056
2021-08-01,22684.29
2021-08-01,22779.1502
2021-08-02,22569.8974
2021-08-02,21926.2622
2021-08-02,22248.5861
2021-08-02,22477.6287
2021-08-02,22521.9484
2021-08-02,23030.1711
2021-08-02,23143.3872
2021-08-02,23469.5558
2021-08-02,23464.8639
2021-08-02,22793.3543
2021-08-02,22434.4101
2021-08-02,23014.1608
2021-08-02,23569.6468
2021-08-02,23705.3226
2021-08-02,23896.0785
2021-08-02,24221.7368
2021-08-02,24682.3955
2021-08-02,24746.9723
2021-08-02,24847.3221
2021-08-02,24967.469
2021-08-02,25514.8433
2021-08-02,25567.2377
2021-08-02,25723.1062
2021-08-02,25548.715
2021-08-03,25421.9864
2021-08-03,25548.9568
2021-08-03,25672.0978
2021-08-03,25260.7258
2021-08-03,25215.1931
2021-08-03,25608.5296
2021-08-03,25728.4632
2021-08-03,26024.4264
2021-08-03,26230.7753
2021-08-03,26373.4201
2021-08-03,26105.3467
2021-08-03,26187.603
2021-08-03,25821.6468
2021-08-03,26064.2413
2021-08-03,26049.8297
2021-08-03,25761.7757
2021-08-03,26063.6882
2021-08-03,26128.6377
2021-08-03,26202.861
2021-08-03,25579.5787
2021-08-03,26215.5278
2021-08-03,26450.6496
2021-08-03,26439.0429
2021-08-03,25886.6316
2021-08-04,25745.4057
2021-08-04,25639.2869
2021-08-04,25586.4927
2021-08-04,25330.5028
2021-08-04,25324.9432
2021-08-04,25323.8486
2021-08-04,25523.6091
2021-08-04,25894.1538
2021-08-04,26044.6917
2021-08-04,25787.2369
2021-08-04,25372.0827
2021-08-04,25313.3498
2021-08-04,25187.3892
2021-08-04,24859.6442
2021-08-04,25026.1103
2021-08-04,25565.4783
2021-08-04,26038.2494
2021-08-04,26114.9009
2021-08-04,26265.5458
2021-08-04,26411.4472
2021-08-04,26883.167
2021-08-04,26446.7414
2021-08-04,26404.6716
2021-08-04,26306.2078
2021-08-05,26208.0606
